rel_path,title,section,type,contentType,status,tags,recommended_bucket,inferred_slug,modified,size_bytes,internal_out_count,external_out_count,preview
_quarantine/community-impact/community-index.md,community_index.md,,,,,,Uncategorized / Review,community_indexmd,2025-12-26T11:52:30,1621,0,0,"title: ""Community Impact"" section: ""Community"" status: ""Prototype"""
_quarantine/constitutions/arkansas-amendment-era.md,Arkansas Amendment Era (1874–Present),Constitutions,Era,,Published,,Constitutions / Eras,arkansas-amendment-era-1874present,2025-12-26T12:16:16,4414,0,0,"Since the adoption of the 1874 Constitution, Arkansas has operated under a framework intentionally designed to resist structural change. The Amendment Era is defined by a continuous struggle between: - popular efforts to modernize governance, and - elite efforts to contain, delay, dilute, or procedurally block reform."
_quarantine/constitutions/arkansas-constitution-of-1861.md,Arkansas Constitution of 1861,Constitutions,Constitution,,Published,,Constitutions / Documents,arkansas-constitution-of-1861,2025-12-26T12:16:16,3605,0,0,The Arkansas Constitution of 1861 was adopted in the immediate aftermath of Arkansas’ decision to secede from the United States and join the Confederate States of America.
_quarantine/constitutions/arkansas-constitution-of-1868.md,Arkansas Constitution of 1868,Constitutions,Constitution,,Published,,Constitutions / Documents,arkansas-constitution-of-1868,2025-12-26T12:16:16,3849,0,0,"The Arkansas Constitution of 1868 was adopted during Congressional Reconstruction under direct federal oversight. Unlike prior constitutions, it was explicitly shaped by the aftermath of the Civil War, the abolition of slavery, and the federal mandate to reconstruct Southern governance on new terms."
_quarantine/constitutions/arkansas-political-eras-foundational-periodization.md,Arkansas Political Eras \u2014 Foundational Periodization,Constitutions,Framework,,Published,,Constitutions / Needs Typing,arkansas-political-eras-u2014-foundational-periodization,2025-12-26T12:16:16,5313,0,0,"This document defines the primary political eras of Arkansas history as an organizing framework for research, data modeling, and narrative construction."
_quarantine/constitutions/arkansas-political-history-project.md,Arkansas Political History Project,Constitutions,Log,,Published,,Constitutions / Needs Typing,arkansas-political-history-project,2025-12-26T12:16:16,2132,0,0,Documented the Arkansas Constitution of 1874. Analyzed it as a deliberate rollback of Reconstruction and a long-term power entrenchment mechanism. Connected constitutional design choices to modern governance dynamics.
_quarantine/constitutions/decision-frame-the-1874-constitution-as-structural-counter-revolution.md,Decision: Frame the 1874 Constitution as Structural Counter-Revolution,Constitutions,Decision,,Published,,Constitutions / Needs Typing,decision-frame-the-1874-constitution-as-structural-counter-revolution,2025-12-26T12:16:16,1097,0,0,2025-04-01
_quarantine/constitutions/territorial-governance-of-arkansas.md,Territorial Governance of Arkansas,Constitutions,Constitution,,Published,,Constitutions / Documents,territorial-governance-of-arkansas,2025-12-26T12:16:16,2226,0,0,"Before Arkansas became a state, it was governed as a U.S. territory. This period established many of the power dynamics that would later be embedded in the 1836 Constitution."
_quarantine/frameworks/power/index.md,power_index.md,,,,,,Frameworks,power_indexmd,2025-12-26T11:52:30,1810,0,0,"title: ""Power in Arkansas"""
_quarantine/frameworks/power/money.md,power_money.md,,,,,,Frameworks,power_moneymd,2025-12-26T11:52:30,1197,0,0,"title: ""Money"""
_quarantine/frameworks/power/narrative.md,power_narrative.md,,,,,,Frameworks,power_narrativemd,2025-12-26T11:52:30,998,0,0,"title: ""Narrative"""
_quarantine/frameworks/power/rules.md,Rules,Power,,,,,Frameworks,rules,2025-12-26T12:07:20,1342,0,0,"In Arkansas, power most often operates through **rules**, not force."
_quarantine/legislative-process/legislature-gatekeeping.md,legislature_gatekeeping.md,,,,,,Explainers / Process,legislature_gatekeepingmd,2025-12-26T11:52:31,1256,0,0,"title: ""Gatekeeping in the Legislative Process"" section: ""Legislature"""
